"absolute_panel","panel_id","page","panel_on_page","scene","scene_name","act_layer","board_geometry","gradient_band","panel_role","visual_meaning","allowed_language","visual_focus","prompt_seed"
"24","B1-P04-F6","4","6","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Hand-off","points toward the next page","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Hand-off; points toward the next page"
"25","B1-P05-F1","5","1","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Establish","sets the page condition","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Establish; sets the page condition"
"26","B1-P05-F2","5","2","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Disturb","introduces the interruption","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Disturb; introduces the interruption"
"27","B1-P05-F3","5","3","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Answer","shows how darkness/crate responds","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Answer; shows how darkness/crate responds"
"28","B1-P05-F4","5","4","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Transform","shows the change beginning","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Transform; shows the change beginning"
"29","B1-P05-F5","5","5","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Clarify","makes one element more readable","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Clarify; makes one element more readable"
"30","B1-P05-F6","5","6","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Hand-off","points toward the next page","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Hand-off; points toward the next page"
"31","B1-P06-F1","6","1","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Establish","sets the page condition","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Establish; sets the page condition"
"32","B1-P06-F2","6","2","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Disturb","introduces the interruption","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Disturb; introduces the interruption"
"33","B1-P06-F3","6","3","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Answer","shows how darkness/crate responds","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Answer; shows how darkness/crate responds"
"34","B1-P06-F4","6","4","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Transform","shows the change beginning","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Transform; shows the change beginning"
"35","B1-P06-F5","6","5","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Clarify","makes one element more readable","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Clarify; makes one element more readable"
"36","B1-P06-F6","6","6","2","Line","Act One: Mystery / Birth","empty field","G05 black with marks","Hand-off","points toward the next page","punctuation only","dot stretches into line, punctuation pressure, first edge or direction","Act One: Mystery / Birth; empty field; dot stretches into line, punctuation pressure, first edge or direction; G05 black with marks; Hand-off; points toward the next page"
"37","B1-P07-F1","7","1","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Establish","sets the page condition","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Establish; sets the page condition"
"38","B1-P07-F2","7","2","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Disturb","introduces the interruption","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Disturb; introduces the interruption"
"39","B1-P07-F3","7","3","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Answer","shows how darkness/crate responds","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Answer; shows how darkness/crate responds"
"40","B1-P07-F4","7","4","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Transform","shows the change beginning","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Transform; shows the change beginning"
"41","B1-P07-F5","7","5","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Clarify","makes one element more readable","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Clarify; makes one element more readable"
"42","B1-P07-F6","7","6","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Hand-off","points toward the next page","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Hand-off; points toward the next page"
"43","B1-P08-F1","8","1","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Establish","sets the page condition","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Establish; sets the page condition"
"44","B1-P08-F2","8","2","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Disturb","introduces the interruption","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Disturb; introduces the interruption"
"45","B1-P08-F3","8","3","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Answer","shows how darkness/crate responds","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Answer; shows how darkness/crate responds"
"46","B1-P08-F4","8","4","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Transform","shows the change beginning","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Transform; shows the change beginning"
"47","B1-P08-F5","8","5","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Clarify","makes one element more readable","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Clarify; makes one element more readable"
"48","B1-P08-F6","8","6","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Hand-off","points toward the next page","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Hand-off; points toward the next page"
"49","B1-P09-F1","9","1","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Establish","sets the page condition","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Establish; sets the page condition"
"50","B1-P09-F2","9","2","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Disturb","introduces the interruption","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Disturb; introduces the interruption"
"51","B1-P09-F3","9","3","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Answer","shows how darkness/crate responds","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Answer; shows how darkness/crate responds"
"52","B1-P09-F4","9","4","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Transform","shows the change beginning","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Transform; shows the change beginning"
"53","B1-P09-F5","9","5","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Clarify","makes one element more readable","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Clarify; makes one element more readable"
"54","B1-P09-F6","9","6","3","Box","Act One: Mystery / Birth","diagonal pressure","G05 black with marks","Hand-off","points toward the next page","body sound only","flat box implied by lines, first body sound as pain and vibration, no anatomy","Act One: Mystery / Birth; diagonal pressure; flat box implied by lines, first body sound as pain and vibration, no anatomy; G05 black with marks; Hand-off; points toward the next page"
"55","B1-P10-F1","10","1","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Establish","sets the page condition","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Establish; sets the page condition"
"56","B1-P10-F2","10","2","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Disturb","introduces the interruption","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Disturb; introduces the interruption"
"57","B1-P10-F3","10","3","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Answer","shows how darkness/crate responds","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Answer; shows how darkness/crate responds"
"58","B1-P10-F4","10","4","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Transform","shows the change beginning","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Transform; shows the change beginning"
"59","B1-P10-F5","10","5","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Clarify","makes one element more readable","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Clarify; makes one element more readable"
"60","B1-P10-F6","10","6","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Hand-off","points toward the next page","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Hand-off; points toward the next page"
"61","B1-P11-F1","11","1","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Establish","sets the page condition","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Establish; sets the page condition"
"62","B1-P11-F2","11","2","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Disturb","introduces the interruption","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Disturb; introduces the interruption"
"63","B1-P11-F3","11","3","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Answer","shows how darkness/crate responds","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Answer; shows how darkness/crate responds"
"64","B1-P11-F4","11","4","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Transform","shows the change beginning","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Transform; shows the change beginning"
"65","B1-P11-F5","11","5","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Clarify","makes one element more readable","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Clarify; makes one element more readable"
"66","B1-P11-F6","11","6","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Hand-off","points toward the next page","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Hand-off; points toward the next page"
"67","B1-P12-F1","12","1","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Establish","sets the page condition","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Establish; sets the page condition"
"68","B1-P12-F2","12","2","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Disturb","introduces the interruption","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Disturb; introduces the interruption"
"69","B1-P12-F3","12","3","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Answer","shows how darkness/crate responds","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Answer; shows how darkness/crate responds"
"70","B1-P12-F4","12","4","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Transform","shows the change beginning","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Transform; shows the change beginning"
"71","B1-P12-F5","12","5","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Clarify","makes one element more readable","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Clarify; makes one element more readable"
"72","B1-P12-F6","12","6","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Hand-off","points toward the next page","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Hand-off; points toward the next page"
"73","B1-P13-F1","13","1","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Establish","sets the page condition","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Establish; sets the page condition"
"74","B1-P13-F2","13","2","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Disturb","introduces the interruption","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Disturb; introduces the interruption"
"75","B1-P13-F3","13","3","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Answer","shows how darkness/crate responds","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Answer; shows how darkness/crate responds"
"76","B1-P13-F4","13","4","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Transform","shows the change beginning","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Transform; shows the change beginning"
"77","B1-P13-F5","13","5","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Clarify","makes one element more readable","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Clarify; makes one element more readable"
"78","B1-P13-F6","13","6","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Hand-off","points toward the next page","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Hand-off; points toward the next page"
"79","B1-P14-F1","14","1","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Establish","sets the page condition","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Establish; sets the page condition"
"80","B1-P14-F2","14","2","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Disturb","introduces the interruption","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Disturb; introduces the interruption"
"81","B1-P14-F3","14","3","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Answer","shows how darkness/crate responds","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Answer; shows how darkness/crate responds"
"82","B1-P14-F4","14","4","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Transform","shows the change beginning","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Transform; shows the change beginning"
"83","B1-P14-F5","14","5","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Clarify","makes one element more readable","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Clarify; makes one element more readable"
"84","B1-P14-F6","14","6","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Hand-off","points toward the next page","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Hand-off; points toward the next page"
"85","B1-P15-F1","15","1","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Establish","sets the page condition","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Establish; sets the page condition"
